in s,C1 in V
3.2490525256E+00,1.78711E+00
3.2490525440E+00,1.74805E+00
3.2490525624E+00,1.76758E+00
3.2490525808E+00,1.72852E+00
3.2490525992E+00,1.72852E+00
3.2490526176E+00,1.70898E+00
3.2490526360E+00,1.68945E+00
3.2490526544E+00,1.72852E+00
3.2490526728E+00,1.76758E+00
3.2490526912E+00,1.72852E+00
3.2490527096E+00,1.76758E+00
3.2490527280E+00,1.76758E+00
3.2490527464E+00,1.74805E+00
3.2490527648E+00,1.70898E+00
3.2490527832E+00,1.72852E+00
3.2490528016E+00,1.76758E+00
3.2490528200E+00,1.78711E+00
3.2490528384E+00,1.72852E+00
3.2490528568E+00,1.74805E+00
3.2490528752E+00,1.70898E+00
3.2490528936E+00,1.72852E+00
3.2490529120E+00,1.72852E+00
3.2490529304E+00,1.70898E+00
3.2490529488E+00,1.74805E+00
3.2490529672E+00,1.74805E+00
3.2490529856E+00,1.70898E+00
3.2490530040E+00,1.72852E+00
3.2490530224E+00,1.76758E+00
3.2490530408E+00,1.72852E+00
3.2490530592E+00,1.72852E+00
3.2490530776E+00,1.70898E+00
3.2490530960E+00,1.74805E+00
3.2490531144E+00,1.74805E+00
3.2490531328E+00,1.76758E+00
3.2490531512E+00,1.72852E+00
3.2490531696E+00,1.68945E+00
3.2490531880E+00,1.70898E+00
3.2490532064E+00,1.65039E+00
3.2490532248E+00,1.74805E+00
3.2490532432E+00,1.74805E+00
3.2490532616E+00,1.72852E+00
3.2490532800E+00,1.76758E+00
3.2490532984E+00,1.72852E+00
3.2490533168E+00,1.72852E+00
3.2490533352E+00,1.68945E+00
3.2490533536E+00,1.70898E+00
3.2490533720E+00,1.70898E+00
3.2490533904E+00,1.66992E+00
3.2490534088E+00,1.74805E+00
3.2490534272E+00,1.70898E+00
3.2490534456E+00,1.70898E+00
3.2490534640E+00,1.70898E+00
3.2490534824E+00,1.74805E+00
3.2490535008E+00,1.72852E+00
3.2490535192E+00,1.72852E+00
3.2490535376E+00,1.66992E+00
3.2490535560E+00,1.72852E+00
3.2490535744E+00,1.72852E+00
3.2490535928E+00,1.72852E+00
3.2490536112E+00,1.66992E+00
3.2490536296E+00,1.72852E+00
3.2490536480E+00,1.68945E+00
3.2490536664E+00,1.72852E+00
3.2490536848E+00,1.65039E+00
3.2490537032E+00,1.70898E+00
3.2490537216E+00,1.66992E+00
3.2490537400E+00,1.66992E+00
3.2490537584E+00,1.66992E+00
3.2490537768E+00,1.68945E+00
3.2490537952E+00,1.68945E+00
3.2490538136E+00,1.68945E+00
3.2490538320E+00,1.66992E+00
3.2490538504E+00,1.70898E+00
3.2490538688E+00,1.66992E+00
3.2490538872E+00,1.70898E+00
3.2490539056E+00,1.70898E+00
3.2490539240E+00,1.70898E+00
3.2490539424E+00,1.70898E+00
3.2490539608E+00,1.66992E+00
3.2490539792E+00,1.70898E+00
3.2490539976E+00,1.70898E+00
3.2490540160E+00,1.70898E+00
3.2490540344E+00,1.68945E+00
3.2490540528E+00,1.72852E+00
3.2490540712E+00,1.72852E+00
3.2490540896E+00,1.68945E+00
3.2490541080E+00,1.68945E+00
3.2490541264E+00,1.70898E+00
3.2490541448E+00,1.66992E+00
3.2490541632E+00,1.72852E+00
3.2490541816E+00,1.66992E+00
3.2490542000E+00,1.72852E+00
3.2490542184E+00,1.68945E+00
3.2490542368E+00,1.65039E+00
3.2490542552E+00,1.65039E+00
3.2490542736E+00,1.66992E+00
3.2490542920E+00,1.68945E+00
3.2490543104E+00,1.70898E+00
3.2490543288E+00,1.68945E+00
3.2490543472E+00,1.65039E+00
3.2490543656E+00,1.70898E+00
3.2490543840E+00,1.66992E+00
3.2490544024E+00,1.68945E+00
3.2490544208E+00,1.65039E+00
3.2490544392E+00,1.66992E+00
3.2490544576E+00,1.68945E+00
3.2490544760E+00,1.68945E+00
3.2490544944E+00,1.65039E+00
3.2490545128E+00,1.68945E+00
3.2490545312E+00,1.63086E+00
3.2490545496E+00,1.65039E+00
3.2490545680E+00,1.65039E+00
3.2490545864E+00,1.68945E+00
3.2490546048E+00,1.63086E+00
3.2490546232E+00,1.74805E+00
3.2490546416E+00,1.68945E+00
3.2490546600E+00,1.68945E+00
3.2490546784E+00,1.61133E+00
3.2490546968E+00,1.63086E+00
3.2490547152E+00,1.65039E+00
3.2490547336E+00,1.65039E+00
3.2490547520E+00,1.68945E+00
3.2490547704E+00,1.70898E+00
3.2490547888E+00,1.72852E+00
3.2490548072E+00,1.65039E+00
3.2490548256E+00,1.66992E+00
3.2490548440E+00,1.68945E+00
3.2490548624E+00,1.65039E+00
3.2490548808E+00,1.63086E+00
3.2490548992E+00,1.65039E+00
3.2490549176E+00,1.66992E+00
3.2490549360E+00,1.70898E+00
3.2490549544E+00,1.70898E+00
3.2490549728E+00,1.65039E+00
3.2490549912E+00,1.65039E+00
3.2490550096E+00,1.68945E+00
3.2490550280E+00,1.63086E+00
3.2490550464E+00,1.68945E+00
3.2490550648E+00,1.66992E+00
3.2490550832E+00,1.68945E+00
3.2490551016E+00,1.65039E+00
3.2490551200E+00,1.65039E+00
3.2490551384E+00,1.66992E+00
3.2490551568E+00,1.63086E+00
3.2490551752E+00,1.65039E+00
3.2490551936E+00,1.65039E+00
3.2490552120E+00,1.65039E+00
3.2490552304E+00,1.65039E+00
3.2490552488E+00,1.65039E+00
3.2490552672E+00,1.65039E+00
3.2490552856E+00,1.65039E+00
3.2490553040E+00,1.65039E+00
3.2490553224E+00,1.65039E+00
3.2490553408E+00,1.65039E+00
3.2490553592E+00,1.65039E+00
3.2490553776E+00,1.65039E+00
3.2490553960E+00,1.65039E+00
3.2490554144E+00,1.65039E+00
3.2490554328E+00,1.61133E+00
3.2490554512E+00,1.65039E+00
3.2490554696E+00,1.63086E+00
3.2490554880E+00,1.70898E+00
3.2490555064E+00,1.66992E+00
3.2490555248E+00,1.65039E+00
3.2490555432E+00,1.65039E+00
3.2490555616E+00,1.66992E+00
3.2490555800E+00,1.63086E+00
3.2490555984E+00,1.66992E+00
3.2490556168E+00,1.65039E+00
3.2490556352E+00,1.63086E+00
3.2490556536E+00,1.68945E+00
3.2490556720E+00,1.66992E+00
3.2490556904E+00,1.61133E+00
3.2490557088E+00,1.65039E+00
3.2490557272E+00,1.63086E+00
3.2490557456E+00,1.63086E+00
3.2490557640E+00,1.65039E+00
3.2490557824E+00,1.65039E+00
3.2490558008E+00,1.68945E+00
3.2490558192E+00,1.65039E+00
3.2490558376E+00,1.61133E+00
3.2490558560E+00,1.63086E+00
3.2490558744E+00,1.61133E+00
3.2490558928E+00,1.65039E+00
3.2490559112E+00,1.65039E+00
3.2490559296E+00,1.65039E+00
3.2490559480E+00,1.59180E+00
3.2490559664E+00,1.66992E+00
3.2490559848E+00,1.63086E+00
3.2490560032E+00,1.61133E+00
3.2490560216E+00,1.59180E+00
3.2490560400E+00,1.65039E+00
3.2490560584E+00,1.57227E+00
3.2490560768E+00,1.61133E+00
3.2490560952E+00,1.63086E+00
3.2490561136E+00,1.65039E+00
3.2490561320E+00,1.61133E+00
3.2490561504E+00,1.63086E+00
3.2490561688E+00,1.59180E+00
3.2490561872E+00,1.61133E+00
3.2490562056E+00,1.65039E+00
3.2490562240E+00,1.59180E+00
3.2490562424E+00,1.65039E+00
3.2490562608E+00,1.63086E+00
3.2490562792E+00,1.65039E+00
3.2490562976E+00,1.61133E+00
3.2490563160E+00,1.63086E+00
3.2490563344E+00,1.63086E+00
3.2490563528E+00,1.65039E+00
3.2490563712E+00,1.59180E+00
3.2490563896E+00,1.63086E+00
3.2490564080E+00,1.61133E+00
3.2490564264E+00,1.63086E+00
3.2490564448E+00,1.63086E+00
3.2490564632E+00,1.59180E+00
3.2490564816E+00,1.61133E+00
3.2490565000E+00,1.65039E+00
3.2490565184E+00,1.63086E+00
3.2490565368E+00,1.61133E+00
3.2490565552E+00,1.59180E+00
3.2490565736E+00,1.55273E+00
3.2490565920E+00,1.59180E+00
3.2490566104E+00,1.57227E+00
3.2490566288E+00,1.65039E+00
3.2490566472E+00,1.63086E+00
3.2490566656E+00,1.63086E+00
3.2490566840E+00,1.59180E+00
3.2490567024E+00,1.57227E+00
3.2490567208E+00,1.63086E+00
3.2490567392E+00,1.61133E+00
3.2490567576E+00,1.59180E+00
3.2490567760E+00,1.63086E+00
3.2490567944E+00,1.65039E+00
3.2490568128E+00,1.57227E+00
3.2490568312E+00,1.61133E+00
3.2490568496E+00,1.57227E+00
3.2490568680E+00,1.61133E+00
3.2490568864E+00,1.57227E+00
3.2490569048E+00,1.59180E+00
3.2490569232E+00,1.63086E+00
3.2490569416E+00,1.65039E+00
3.2490569600E+00,1.61133E+00
3.2490569784E+00,1.61133E+00
3.2490569968E+00,1.59180E+00
3.2490570152E+00,1.59180E+00
